sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
185-ITS_S377,185,2,A,12,36,T3,22.9,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,185-ITS_S377_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.41671881917053,0.875205786568647,1,1
186-ITS_S378,186,2,B,12,39,T3,30,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,186-ITS_S378_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.49741197275809,0.8673730048192,2,2
187-ITS_S379,187,2,C,12,40,T3,18.3,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,187-ITS_S379_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.36509743609722,0.83300465772976,3,0.5
188-ITS_S380,188,2,D,12,41,T3,25.2,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,188-ITS_S380_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.97759415934525,0.731275206059256,2,0.5
189-ITS_S381,189,2,E,12,42,T3,26.4,Inoculated,Extruded Green-Fibre®,1_Extruded FG,ITS,1_Extruded FG_ITS,189-ITS_S381_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.53037975369836,0.85526351482325,1,1
192-ITS_S384,192,2,H,12,45,T3,20.9,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,192-ITS_S384_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.41857910281992,0.845660524669297,2,1
193-ITS_S23,193,3,A,1,46,T3,18.1,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,193-ITS_S23_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.49821307193836,0.848951486685235,3,0.5
194-ITS_S24,194,3,B,1,47,T3,17.8,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,194-ITS_S24_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.92954818059127,0.912238316880303,2,0.5
195-ITS_S25,195,3,C,1,48,T3,15.9,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,195-ITS_S25_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.2655285616938,0.835130402252804,1,1.5
2-ITS_S194,2,1,B,1,1,T1,30,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,2-ITS_S194_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.7865142835598,0.898708532973793,1,2.5
20-ITS_S212,20,1,D,3,23,T1,25,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,20-ITS_S212_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.36384204414199,0.843367578879296,2,1.5
21-ITS_S213,21,1,E,3,24,T1,15.5,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,21-ITS_S213_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.08079955380237,0.75148030511416,1,1.5
